county,sheet_name,for_table,trend
Baker,,,
Baker,Food Insecurity,15%,↘
Baker,Child Poverty,24%,↗
Baker,Child Abuse,33,
Baker,Index Crime,20,↘
Baker,Voter Participation,72%,↘
Baker,,,
Baker,4yr Degree or Greater,23%,↗
Baker,2yr Degrees,8%,↗
Baker,Graduation Rate,74%,↗
Baker,Higher ed enrollment,,
Baker,Letter Sounds,9%,
Baker,,,
Baker,Unemployment Rate,6%,↘
Baker,LFPR,52%,↘
Baker,Job Growth,7,
Baker,Property Tax per Person,"$1,110",↗
Baker,Housing Cost Burden,27%,↗
Baker,,,
Baker,Physically Active Adults,6%,
Baker,Adult Smoking,24%,↗
Baker,Healthy Diet,23%,↗
Baker,Vaccination Rate 2yr olds,70%,↗
Baker,Low Weight Births,8%,↗
Baker,,,
Baker,Broadband Access,71%,
Baker,Transit Service,23%,
Baker,Vehicle Miles Traveled,297,↗
Baker,Developed or Cultivated Land,8%,↗
Baker,Mobile Homes,15%,↘
Benton,,,
Benton,Food Insecurity,15%,↘
Benton,Child Poverty,13%,↗
Benton,Child Abuse,9,
Benton,Index Crime,23,↘
Benton,Voter Participation,78%,↘
Benton,,,
Benton,4yr Degree or Greater,54%,↗
Benton,2yr Degrees,8%,↗
Benton,Graduation Rate,85%,↗
Benton,Higher ed enrollment,350%,↗
Benton,Letter Sounds,11%,
Benton,,,
Benton,Unemployment Rate,3%,↘
Benton,LFPR,59%,↘
Benton,Job Growth,3,
Benton,Property Tax per Person,"$1,406",↗
Benton,Housing Cost Burden,37%,↗
Benton,,,
Benton,Physically Active Adults,30%,↘
Benton,Adult Smoking,11%,↘
Benton,Healthy Diet,20%,↘
Benton,Vaccination Rate 2yr olds,69%,↗
Benton,Low Weight Births,6%,↗
Benton,,,
Benton,Broadband Access,99%,
Benton,Transit Service,64%,
Benton,Vehicle Miles Traveled,254,↗
Benton,Developed or Cultivated Land,33%,—
Benton,Mobile Homes,6%,↘
Clackamas,,,
Clackamas,Food Insecurity,11%,↘
Clackamas,Child Poverty,11%,↗
Clackamas,Child Abuse,6,
Clackamas,Index Crime,20,↘
Clackamas,Voter Participation,71%,↘
Clackamas,,,
Clackamas,4yr Degree or Greater,35%,↗
Clackamas,2yr Degrees,9%,↗
Clackamas,Graduation Rate,82%,↗
Clackamas,Higher ed enrollment,16%,↘
Clackamas,Letter Sounds,10%,
Clackamas,,,
Clackamas,Unemployment Rate,4%,↗
Clackamas,LFPR,65%,↘
Clackamas,Job Growth,6,
Clackamas,Property Tax per Person,"$1,766",↗
Clackamas,Housing Cost Burden,33%,↗
Clackamas,,,
Clackamas,Physically Active Adults,23%,↘
Clackamas,Adult Smoking,17%,↘
Clackamas,Healthy Diet,22%,↘
Clackamas,Vaccination Rate 2yr olds,71%,↗
Clackamas,Low Weight Births,7%,↗
Clackamas,,,
Clackamas,Broadband Access,94%,
Clackamas,Transit Service,45%,
Clackamas,Vehicle Miles Traveled,"1,895",↗
Clackamas,Developed or Cultivated Land,20%,—
Clackamas,Mobile Homes,6%,↘
Clatsop,,,
Clatsop,Food Insecurity,13%,↘
Clatsop,Child Poverty,15%,↘
Clatsop,Child Abuse,11,
Clatsop,Index Crime,30,↘
Clatsop,Voter Participation,69%,↘
Clatsop,,,
Clatsop,4yr Degree or Greater,24%,↗
Clatsop,2yr Degrees,10%,↗
Clatsop,Graduation Rate,69%,↗
Clatsop,Higher ed enrollment,22%,↘
Clatsop,Letter Sounds,9%,
Clatsop,,,
Clatsop,Unemployment Rate,4%,↘
Clatsop,LFPR,58%,↘
Clatsop,Job Growth,-1,
Clatsop,Property Tax per Person,"$1,808",↗
Clatsop,Housing Cost Burden,35%,↗
Clatsop,,,
Clatsop,Physically Active Adults,40%,↗
Clatsop,Adult Smoking,21%,↘
Clatsop,Healthy Diet,17%,↘
Clatsop,Vaccination Rate 2yr olds,68%,↗
Clatsop,Low Weight Births,5%,↗
Clatsop,,,
Clatsop,Broadband Access,84%,
Clatsop,Transit Service,39%,
Clatsop,Vehicle Miles Traveled,366,↗
Clatsop,Developed or Cultivated Land,7%,—
Clatsop,Mobile Homes,6%,↘
Columbia,,,
Columbia,Food Insecurity,13%,↘
Columbia,Child Poverty,15%,↗
Columbia,Child Abuse,16,
Columbia,Index Crime,10,↘
Columbia,Voter Participation,68%,↘
Columbia,,,
Columbia,4yr Degree or Greater,19%,↗
Columbia,2yr Degrees,9%,↗
Columbia,Graduation Rate,81%,↗
Columbia,Higher ed enrollment,,
